course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
84047,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
84048,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
84614,Binning,Jennifer,0,0,0,0,0,0,0,0,0,0
84615,Koomen,John,0,0,0,0,0,0,0,0,0,0
84616,Premi,Sanjay,0,0,0,0,0,0,0,0,0,0
84617,Fedorenko,Inna,0,0,0,0,0,0,0,0,0,0
84915,Daniel,Kenyon,0,0,0,0,0,0,0,0,0,0
85423,Tirado Class,Neysha,0,0,0,0,0,0,0,0,0,0
85673,El-Rady,Johnny,0,0,0,0,0,0,0,0,0,0
86074,Tirado Class,Neysha,0,0,0,0,0,0,0,0,0,0
86075,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86076,Atkinson,Celine,0,0,0,0,0,0,0,0,0,0
86372,Brazelle,William,0,0,0,0,0,0,0,0,0,0
86374,Lamabadu Warnakulasuriya,Hiran Malinda,0,0,0,0,0,0,0,0,0,0
86375,Carter,Kelli,0,0,0,0,0,0,0,0,0,0
86405,Dungrawala,Huzefa,0,0,0,0,0,0,0,0,0,0
86406,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
86730,Atkinson,Celine,0,0,0,0,0,0,0,0,0,0
86731,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86762,Lamabadu Warnakulasuriya,Hiran Malinda,0,0,0,0,0,0,0,0,0,0
86763,Todd,English,0,0,0,0,0,0,0,0,0,0
86884,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86887,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86888,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86904,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86962,Eswara,Prahathees,0,0,0,0,0,0,0,0,0,0
87150,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
87209,Schmidt,Kristina,0,0,0,0,0,0,0,0,0,0
87225,Upadhyaya,Ashok,0,0,0,0,0,0,0,0,0,0
