0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CHM-2210 -905-C (84585),7,24.14,7,24.14,8,27.59,1,3.45,1,3.45,0,0.00,0,0.00,0,0.00,5,17.24,0,0,29
CHM-2210 -906-C (84586),9,30.00,11,36.67,5,16.67,1,3.33,1,3.33,0,0.00,0,0.00,0,0.00,3,10.00,0,0,30
CHM-2210 -915-C (84587),12,40.00,8,26.67,8,26.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -916-C (84588),9,30.00,10,33.33,6,20.00,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,4,13.33,0,0,30
CHM-2211 -005-C (84589),3,12.00,7,28.00,11,44.00,1,4.00,0,0.00,0,0.00,0,0.00,0,0.00,3,12.00,0,0,25
CHM-2211 -006-C (84590),8,32.00,10,40.00,4,16.00,3,12.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,25
CHM-2211 -905-C (84591),4,18.18,12,54.55,5,22.73,1,4.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22
CHM-2211 -906-C (84592),9,40.91,8,36.36,3,13.64,2,9.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22
CHM-3120C-003-C (84593),4,23.53,10,58.82,3,17.65,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17
CHS-2440 -001-C (84604),184,61.74,85,28.52,19,6.38,2,0.67,4,1.34,1,0.34,0,0.00,0,0.00,3,1.01,0,0,298
CHS-2440L-001-L (84605),17,70.83,5,20.83,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHS-2440L-002-L (84606),14,58.33,7,29.17,2,8.33,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHS-2440L-003-L (84607),17,70.83,4,16.67,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHS-2440L-004-L (84608),14,58.33,9,37.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHS-2440L-901-L (84609),13,54.17,8,33.33,0,0.00,1,4.17,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHS-2440L-902-L (84610),20,83.33,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,8.33,0,0,24
CHM-2046L-904-L (84656),23,95.83,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24
CHM-2046 -003-C (84670),59,32.42,64,35.16,31,17.03,13,7.14,8,4.40,0,0.00,0,0.00,0,0.00,6,3.30,1,1,182
CHM-2045 -007-C (84674),108,56.84,56,29.47,12,6.32,4,2.11,6,3.16,0,0.00,0,0.00,0,0.00,4,2.11,0,0,190
CHM-2210 -021-C (84820),13,41.94,8,25.81,5,16.13,2,6.45,1,3.23,0,0.00,0,0.00,0,0.00,2,6.45,0,0,31
CHM-2210 -022-C (84821),14,46.67,10,33.33,4,13.33,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
